Você é autônomo?,Quantos funcionários sua empresa ou organização possui?,Seu empregador é principalmente uma empresa/organização de tecnologia?,O seu empregador oferece benefícios de saúde mental como parte da cobertura de saúde?,Você conhece as opções de cuidados de saúde mental disponíveis sob sua cobertura fornecida pelo empregador?,"Seu empregador já discutiu formalmente a saúde mental (por exemplo, como parte de uma campanha de bem -estar ou outra comunicação oficial)?",O seu empregador oferece recursos para aprender mais sobre preocupações e opções de saúde mental para procurar ajuda?,O seu anonimato está protegido se você optar por aproveitar os recursos de tratamento de saúde mental ou abuso de substâncias fornecidos pelo seu empregador?,"Se um problema de saúde mental o levasse a solicitar uma licença médica do trabalho, pedir que a licença seria:",Você acha que discutir um distúrbio de saúde mental com seu empregador teria consequências negativas?,Você acha que discutir um problema de saúde física com seu empregador teria consequências negativas?,Você se sentiria à vontade para discutir um distúrbio de saúde mental com seus colegas de trabalho?,Você se sentiria confortável discutindo um distúrbio de saúde mental com seu (s) supervisor (s) direto (s)?,Você acha que seu empregador leva a saúde mental tão a sério quanto a saúde física?,Você já ouviu falar ou observar consequências negativas para os colegas de trabalho que foram abertos sobre problemas de saúde mental em seu local de trabalho?,Você estaria disposto a discutir um problema de saúde mental com seu (s) supervisor (s) direto (s)?,Você estaria disposto a apresentar um problema de saúde física com um empregador em potencial em uma entrevista?,Você traria um problema de saúde mental com um empregador em potencial em uma entrevista?,Você sente que ser identificado como uma pessoa com um problema de saúde mental prejudicaria sua carreira?,Você acha que os membros da equipe/colegas de trabalho o levariam mais negativamente se soubessem que você sofria de um problema de saúde mental?,Quão disposto você estaria em compartilhar com amigos e familiares que você tem uma doença mental?,Você tem um histórico familiar de doença mental?,Você já teve um distúrbio de saúde mental no passado?,Você atualmente tem um distúrbio de saúde mental?,Você foi diagnosticado com uma condição de saúde mental por um profissional médico?,Você já procurou tratamento para um problema de saúde mental de um profissional de saúde mental?,"Se você tem um problema de saúde mental, sente que isso interfere no seu trabalho ao ser tratado de maneira eficaz?","Se você tem um problema de saúde mental, sente que isso interfere no seu trabalho quando não é tratado de maneira eficaz?",Qual é a sua idade?,Qual é o seu gênero?,Qual das opções a seguir melhor descreve sua posição de trabalho?,Você trabalha remotamente?
0,100-500,0.0,Yes,Yes,No,I don't know,I don't know,Somewhat difficult,Yes,No,No,No,No,No,"No, at none of my previous employers",No,No,"Yes, I think it would","Yes, I think they would",Not open at all,Yes,Yes,Yes,Yes,1,Never,Rarely,34,Male,Executive Leadership,Sometimes
0,100-500,1.0,Yes,I am not sure,No,No,Yes,Very easy,No,No,Yes,Yes,Yes,No,Some of my previous employers,No,No,"No, it has not","No, they do not",Somewhat open,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,30,Female,Supervisor/Team Lead|Dev Evangelist/Advocate|Back-end Developer|Front-end Developer,Always
0,100-500,0.0,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,No,Maybe,Yes,No,Some of my previous employers,Yes,No,Maybe,"Yes, I think they would",Not open at all,No,Maybe,Maybe,No,0,Not applicable to me,Sometimes,44,Male,DevOps/SysAdmin|Back-end Developer|Front-end Developer,Sometimes
0,100-500,1.0,Yes,Yes,No,I don't know,Yes,Very easy,No,No,Yes,Yes,No,No,I don't know,No,No,"No, it has not","No, they do not",Somewhat open,Yes,Yes,Yes,Yes,1,Sometimes,Sometimes,35,Male,Designer,Always
0,100-500,1.0,I don't know,No,No,I don't know,I don't know,Neither easy nor difficult,Maybe,Maybe,Maybe,Maybe,I don't know,No,Some of my previous employers,Maybe,Maybe,Maybe,Maybe,Neutral,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,52,m,Other|Executive Leadership,Sometimes
0,26-100,1.0,Not eligible for coverage / N/A,No,No,No,I don't know,Very difficult,Maybe,No,Maybe,Maybe,No,No,"No, at none of my previous employers",Yes,No,"Yes, it has","No, I don't think they would",Very open,Yes,Yes,Yes,Yes,1,Sometimes,Often,32,I identify as female.,Front-end Developer,Always
0,500-1000,1.0,No,No,No,No,I don't know,I don't know,Maybe,No,Yes,Maybe,No,No,Some of my previous employers,No,No,Maybe,Maybe,Somewhat open,No,No,No,No,0,Not applicable to me,Not applicable to me,34,Male,Back-end Developer,Never
1,,,,,,,,,,,,,,,,No,No,"Yes, it has","Yes, they do",Somewhat not open,I don't know,Yes,Yes,Yes,1,Often,Often,25,female ,One-person shop,Always
0,100-500,0.0,I don't know,No,No,No,I don't know,I don't know,Yes,No,No,No,Yes,No,"No, at none of my previous employers",Yes,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,31,M,Back-end Developer|Front-end Developer,Sometimes
0,6-25,1.0,No,,No,No,I don't know,Very easy,No,No,Maybe,Yes,I don't know,No,Some of my previous employers,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,Yes,Maybe,No,No,0,Not applicable to me,Not applicable to me,26,Male,Back-end Developer,Sometimes
0,More than 1000,0.0,Yes,No,Yes,I don't know,I don't know,Somewhat easy,No,No,Maybe,Yes,I don't know,No,Some of my previous employers,No,No,Maybe,Maybe,Neutral,No,No,No,No,0,Not applicable to me,Not applicable to me,35,male,Other,Never
0,26-100,1.0,Yes,Yes,No,No,I don't know,Very easy,Maybe,Maybe,Maybe,No,I don't know,No,Some of my previous employers,Maybe,Maybe,Maybe,"No, I don't think they would",Neutral,I don't know,Maybe,No,No,0,Not applicable to me,Not applicable to me,25,male,Back-end Developer,Sometimes
0,1-5,1.0,Yes,Yes,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,Maybe,I don't know,No,Some of my previous employers,No,No,"Yes, I think it would",Maybe,Somewhat open,Yes,Yes,No,Yes,1,Sometimes,Often,33,Male,Back-end Developer,Sometimes
1,,,,,,,,,,,,,,,Some of my previous employers,Maybe,Maybe,Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),No,No,No,No,0,Not applicable to me,Not applicable to me,38,Male,Supervisor/Team Lead,Sometimes
0,100-500,0.0,Yes,Yes,I don't know,Yes,Yes,Very easy,No,No,Maybe,Maybe,Yes,No,,Maybe,Maybe,Maybe,"No, I don't think they would",Very open,No,No,No,No,0,Not applicable to me,Not applicable to me,42,male,Supervisor/Team Lead|Support|Back-end Developer,Never
0,26-100,0.0,No,No,No,No,I don't know,Very difficult,Yes,Yes,No,No,No,No,I don't know,No,Maybe,"Yes, I think it would","Yes, I think they would",Somewhat open,I don't know,Yes,Yes,Yes,1,Rarely,Often,27,Male,Supervisor/Team Lead|DevOps/SysAdmin|Back-end Developer,Sometimes
0,100-500,1.0,I don't know,No,No,No,I don't know,Somewhat difficult,No,No,No,No,I don't know,No,"No, at none of my previous employers",Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,No,No,Maybe,No,1,Sometimes,Often,35,male,Back-end Developer,Never
0,500-1000,0.0,I don't know,No,Yes,Yes,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Maybe,I don't know,Yes,"No, at none of my previous employers",Maybe,No,"Yes, I think it would","No, I don't think they would",Neutral,Yes,Yes,Maybe,No,1,Sometimes,Often,34,female,Other,Never
0,6-25,1.0,Not eligible for coverage / N/A,,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Yes,No,"No, at none of my previous employers",No,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,Yes,Yes,Yes,Yes,1,Sometimes,Often,32,Bigender,Other|Supervisor/Team Lead|Support|Back-end Developer|Designer,Never
0,100-500,1.0,Not eligible for coverage / N/A,Yes,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Maybe,No,No,,Maybe,Maybe,"Yes, I think it would",Maybe,Very open,Yes,Yes,Yes,Yes,1,Rarely,Often,32,non-binary,Back-end Developer,Never
0,100-500,1.0,Yes,Yes,No,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,No,I don't know,No,No,"No, I don't think it would","No, they do not",Very open,No,Yes,Yes,Yes,1,Often,Sometimes,30,Male,Supervisor/Team Lead|Back-end Developer,Sometimes
0,More than 1000,1.0,I don't know,I am not sure,No,No,I don't know,Very easy,Maybe,No,No,Maybe,No,No,,No,No,Maybe,Maybe,Somewhat open,I don't know,Yes,Maybe,No,0,Rarely,Often,31,Male,One-person shop|Front-end Developer|Back-end Developer|Dev Evangelist/Advocate|Other,Never
1,,,,,,,,,,,,,,,"Yes, at all of my previous employers",No,Maybe,Maybe,Maybe,Somewhat open,No,No,No,No,0,Not applicable to me,Not applicable to me,37,Male ,Back-end Developer|Front-end Developer,Sometimes
0,26-100,1.0,Yes,I am not sure,No,I don't know,Yes,Very easy,No,No,Maybe,Yes,Yes,No,"No, at none of my previous employers",Yes,Yes,"No, I don't think it would","No, I don't think they would",Somewhat not open,No,Yes,Yes,No,0,Not applicable to me,Sometimes,36,Male,Supervisor/Team Lead|DevOps/SysAdmin|Support|Back-end Developer,Sometimes
0,100-500,1.0,No,No,No,Yes,I don't know,Somewhat easy,Maybe,No,No,No,I don't know,Yes,"No, at none of my previous employers",No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,No,No,No,No,0,Not applicable to me,Not applicable to me,33,Male,Executive Leadership|Front-end Developer|Back-end Developer|Sales|Supervisor/Team Lead,Never
0,26-100,1.0,Yes,I am not sure,No,Yes,Yes,Very easy,No,No,Yes,Maybe,Yes,No,Some of my previous employers,Yes,Yes,Maybe,Maybe,Somewhat open,Yes,Yes,Yes,Yes,1,Sometimes,Often,44,Male,Back-end Developer,Always
0,100-500,1.0,No,Yes,No,No,I don't know,Somewhat easy,No,No,Yes,Yes,Yes,No,Some of my previous employers,Maybe,Maybe,Maybe,"Yes, I think they would",Somewhat open,No,No,Maybe,No,0,Never,Sometimes,29,male,Front-end Developer,Never
0,100-500,1.0,No,I am not sure,Yes,No,I don't know,Somewhat easy,No,No,Maybe,Yes,I don't know,No,Some of my previous employers,Yes,Maybe,Maybe,"No, I don't think they would",Very open,Yes,Yes,Maybe,Yes,1,Rarely,Sometimes,29,male,Back-end Developer,Sometimes
0,More than 1000,1.0,Yes,Yes,I don't know,I don't know,I don't know,Neither easy nor difficult,Maybe,No,Yes,Yes,I don't know,Yes,"Yes, at all of my previous employers",Yes,Yes,Maybe,Maybe,Very open,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,44,Male,Support|Other,Always
1,,,,,,,,,,,,,,,Some of my previous employers,Maybe,No,"Yes, I think it would","No, I don't think they would",Somewhat open,Yes,Yes,Yes,No,0,Rarely,Sometimes,34,Male,One-person shop|Back-end Developer|DevOps/SysAdmin,Sometimes
0,100-500,1.0,Yes,I am not sure,No,I don't know,Yes,Somewhat easy,No,No,Maybe,Yes,No,No,Some of my previous employers,Maybe,Maybe,"No, I don't think it would","No, I don't think they would",Somewhat open,I don't know,Yes,Yes,No,1,Rarely,Sometimes,40,male,Other,Always
0,More than 1000,1.0,Yes,I am not sure,No,No,Yes,Somewhat difficult,Yes,Maybe,Yes,Yes,No,No,"Yes, at all of my previous employers",Maybe,No,Maybe,Maybe,Very open,Yes,Yes,Yes,No,1,Often,Often,46,Female assigned at birth ,Supervisor/Team Lead|Other,Never
1,,,,,,,,,,,,,,,Some of my previous employers,Yes,No,"Yes, I think it would","No, I don't think they would",Somewhat open,Yes,Yes,Yes,No,1,Sometimes,Often,28,M,DevOps/SysAdmin|Back-end Developer,Sometimes
0,More than 1000,0.0,No,I am not sure,No,No,No,Somewhat difficult,Maybe,No,No,No,No,No,"No, at none of my previous employers",No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,No,No,No,No,0,Not applicable to me,Not applicable to me,41,Male,Back-end Developer,Never
0,6-25,1.0,Yes,Yes,I don't know,Yes,I don't know,Somewhat easy,Maybe,Maybe,Maybe,Maybe,No,No,"No, at none of my previous employers",No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,Yes,Yes,Yes,Yes,1,Sometimes,Often,33,male,Supervisor/Team Lead|Back-end Developer|Front-end Developer,Sometimes
1,,,,,,,,,,,,,,,Some of my previous employers,Yes,Maybe,"No, I don't think it would",Maybe,Very open,Yes,Yes,Yes,Yes,1,Rarely,Often,32,Male,Other,Sometimes
0,6-25,1.0,I don't know,No,No,I don't know,I don't know,I don't know,Maybe,No,No,Maybe,I don't know,No,Some of my previous employers,Maybe,Maybe,Maybe,Maybe,Somewhat not open,I don't know,Maybe,Maybe,No,0,Not applicable to me,Sometimes,45,Male,DevOps/SysAdmin|Back-end Developer|Front-end Developer,Sometimes
1,,,,,,,,,,,,,,,I don't know,Yes,Yes,"No, I don't think it would",Maybe,Neutral,Yes,Yes,Maybe,Yes,1,Not applicable to me,Not applicable to me,43,male,Other,Sometimes
0,6-25,1.0,Yes,Yes,No,No,Yes,Very easy,No,No,Yes,Maybe,I don't know,No,Some of my previous employers,No,No,Maybe,Maybe,Somewhat open,No,Maybe,Yes,Yes,1,Often,Often,37,F,Supervisor/Team Lead,Always
0,26-100,1.0,No,,No,No,I don't know,Somewhat easy,Maybe,Maybe,No,No,I don't know,No,"No, at none of my previous employers",No,No,"Yes, it has",Maybe,Neutral,I don't know,Yes,Yes,Yes,1,Sometimes,Often,37,M,Executive Leadership,Never
0,6-25,1.0,Yes,Yes,No,No,Yes,Very easy,Maybe,Maybe,Yes,Yes,I don't know,No,Some of my previous employers,Yes,Yes,Maybe,Maybe,Somewhat open,Yes,No,No,No,0,Not applicable to me,Not applicable to me,27,Male,Front-end Developer|Back-end Developer|Executive Leadership,Sometimes
1,,,,,,,,,,,,,,,"Yes, at all of my previous employers",Yes,Maybe,Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),No,No,No,No,0,Not applicable to me,Not applicable to me,31,Male,Supervisor/Team Lead|Back-end Developer|Front-end Developer|One-person shop,Sometimes
0,More than 1000,1.0,Yes,Yes,No,Yes,I don't know,Somewhat difficult,Maybe,Maybe,Maybe,Yes,Yes,No,Some of my previous employers,Maybe,No,Maybe,"No, I don't think they would",Neutral,Yes,Yes,Yes,Yes,1,Never,Sometimes,36,Male,Supervisor/Team Lead|DevOps/SysAdmin,Sometimes
0,500-1000,0.0,Yes,Yes,No,No,I don't know,I don't know,Maybe,No,Maybe,Maybe,I don't know,No,Some of my previous employers,Maybe,No,"Yes, I think it would",Maybe,Neutral,No,Maybe,Maybe,Yes,1,Rarely,Often,34,Male,DevOps/SysAdmin|Back-end Developer,Always
0,More than 1000,0.0,Yes,No,Yes,Yes,I don't know,Somewhat difficult,Maybe,Maybe,Yes,Yes,I don't know,No,Some of my previous employers,No,No,Maybe,"No, I don't think they would",Somewhat not open,No,No,No,No,0,Not applicable to me,Not applicable to me,31,Woman,Other,Sometimes
0,26-100,1.0,Yes,Yes,No,Yes,I don't know,Somewhat easy,No,No,Yes,Yes,Yes,No,,Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat open,Yes,Maybe,Maybe,Yes,1,Rarely,Often,30,Male,Back-end Developer|Front-end Developer,Never
0,100-500,0.0,Yes,Yes,No,I don't know,Yes,Somewhat difficult,Maybe,No,Maybe,Yes,No,No,"No, at none of my previous employers",Yes,No,"Yes, I think it would",Maybe,Somewhat not open,Yes,Maybe,Maybe,No,0,Sometimes,Often,32,Male,Supervisor/Team Lead,Never
0,6-25,0.0,Yes,I am not sure,No,No,I don't know,Somewhat difficult,No,No,No,Maybe,I don't know,No,Some of my previous employers,Maybe,No,"No, I don't think it would",Maybe,Somewhat not open,I don't know,Maybe,Maybe,No,0,Not applicable to me,Not applicable to me,40,female,Back-end Developer|Front-end Developer,Sometimes
0,100-500,0.0,I don't know,No,No,No,I don't know,Neither easy nor difficult,Maybe,No,Maybe,No,I don't know,No,I don't know,Yes,Maybe,Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),I don't know,No,No,No,0,Not applicable to me,Not applicable to me,40,Male,Back-end Developer,Sometimes
0,More than 1000,1.0,Yes,I am not sure,Yes,Yes,I don't know,Neither easy nor difficult,No,No,Maybe,Yes,No,No,"No, at none of my previous employers",Maybe,Maybe,"Yes, I think it would","Yes, I think they would",Somewhat open,I don't know,No,Maybe,No,0,Sometimes,Sometimes,41,man,Back-end Developer,Sometimes
0,26-100,0.0,Not eligible for coverage / N/A,,No,No,I don't know,Very difficult,Yes,No,No,Maybe,No,No,Some of my previous employers,Yes,Maybe,"Yes, I think it would","Yes, I think they would",Somewhat open,No,Yes,Maybe,Yes,1,Rarely,Often,27,Male,DevOps/SysAdmin,Never
0,26-100,1.0,Yes,Yes,No,No,I don't know,Somewhat easy,No,No,Yes,Yes,I don't know,No,"Yes, at all of my previous employers",Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat open,No,No,No,No,0,Not applicable to me,Not applicable to me,30,Male,Supervisor/Team Lead,Sometimes
1,,,,,,,,,,,,,,,"No, at none of my previous employers",No,No,"Yes, I think it would","Yes, I think they would",Neutral,I don't know,Maybe,Maybe,No,0,Not applicable to me,Not applicable to me,29,Male,Front-end Developer|Back-end Developer,Always
1,,,,,,,,,,,,,,,"No, at none of my previous employers",No,No,Maybe,Maybe,Somewhat not open,No,No,No,No,0,Not applicable to me,Not applicable to me,38,Male,Other,Sometimes
1,,,,,,,,,,,,,,,"No, at none of my previous employers",No,No,"No, I don't think it would","No, I don't think they would",Not applicable to me (I do not have a mental illness),No,No,No,No,0,Not applicable to me,Not applicable to me,35,male,Supervisor/Team Lead|Back-end Developer|One-person shop,Sometimes
0,6-25,0.0,No,Yes,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,Maybe,No,Yes,Some of my previous employers,Yes,No,"Yes, I think it would","Yes, I think they would",Somewhat open,Yes,Yes,Yes,Yes,1,Rarely,Often,35,female,Supervisor/Team Lead,Never
0,More than 1000,1.0,Yes,I am not sure,Yes,Yes,I don't know,Neither easy nor difficult,Maybe,Maybe,No,No,I don't know,No,Some of my previous employers,Yes,No,"Yes, I think it would","Yes, I think they would",Somewhat open,Yes,Yes,Yes,Yes,1,Often,Often,29,M,Back-end Developer,Always
0,100-500,1.0,Yes,I am not sure,No,I don't know,Yes,I don't know,Maybe,Maybe,No,Maybe,I don't know,No,Some of my previous employers,Maybe,No,"Yes, I think it would",Maybe,Somewhat open,Yes,Maybe,No,No,0,Not applicable to me,Not applicable to me,28,Male,Front-end Developer,Never
0,26-100,0.0,No,Yes,No,I don't know,Yes,Very easy,No,No,No,Yes,Yes,No,"Yes, at all of my previous employers",No,No,Maybe,"Yes, I think they would",Very open,I don't know,Yes,Maybe,Yes,1,Rarely,Often,27,Male,Back-end Developer,Sometimes
1,,,,,,,,,,,,,,,Some of my previous employers,Yes,Maybe,Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),No,Yes,No,No,1,Not applicable to me,Not applicable to me,39,Male,Back-end Developer,Sometimes
0,100-500,1.0,Yes,I am not sure,No,I don't know,I don't know,Neither easy nor difficult,No,No,Maybe,Maybe,I don't know,No,,Yes,Maybe,Maybe,Maybe,Somewhat open,No,No,No,No,0,Not applicable to me,Not applicable to me,28,male,Support,Sometimes
0,6-25,0.0,I don't know,No,No,No,I don't know,Very difficult,Yes,Maybe,No,No,No,No,"No, at none of my previous employers",No,No,"Yes, I think it would","Yes, I think they would",Not open at all,Yes,No,No,No,0,Not applicable to me,Not applicable to me,46,Male,Executive Leadership|Supervisor/Team Lead|Back-end Developer,Sometimes
0,1-5,1.0,No,No,No,I don't know,I don't know,Very easy,No,No,Yes,Yes,I don't know,No,"Yes, at all of my previous employers",Yes,Yes,Maybe,"No, I don't think they would",Very open,No,Yes,No,Yes,1,Not applicable to me,Not applicable to me,40,male,Front-end Developer|Back-end Developer,Sometimes
0,26-100,1.0,Yes,Yes,No,No,Yes,Very easy,No,No,Maybe,Yes,Yes,No,Some of my previous employers,Maybe,No,Maybe,"No, I don't think they would",Somewhat open,Yes,Maybe,Maybe,No,0,Not applicable to me,Sometimes,37,Male,Supervisor/Team Lead|DevOps/SysAdmin|Back-end Developer,Always
0,26-100,1.0,No,,No,No,I don't know,Very easy,No,No,Maybe,Yes,I don't know,No,"Yes, at all of my previous employers",Maybe,No,Maybe,"No, I don't think they would",Somewhat open,Yes,No,No,No,0,Not applicable to me,Not applicable to me,41,Male,Front-end Developer|Back-end Developer|DevOps/SysAdmin,Sometimes
1,,,,,,,,,,,,,,,,No,No,"No, I don't think it would","Yes, I think they would",Somewhat open,I don't know,Yes,Yes,No,0,Not applicable to me,Not applicable to me,19,M,Back-end Developer,Never
0,6-25,1.0,I don't know,I am not sure,No,No,No,Somewhat easy,No,No,Yes,Maybe,Yes,No,Some of my previous employers,Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat open,No,No,No,No,0,Not applicable to me,Not applicable to me,38,F,Front-end Developer,Never
0,26-100,1.0,I don't know,I am not sure,No,I don't know,I don't know,Somewhat difficult,Maybe,No,No,No,No,No,Some of my previous employers,Yes,No,Maybe,Maybe,Neutral,No,No,No,No,0,Not applicable to me,Not applicable to me,33,Male ,Front-end Developer,Sometimes
0,26-100,1.0,Yes,Yes,No,Yes,Yes,Very easy,No,No,Maybe,Yes,Yes,No,Some of my previous employers,Yes,Maybe,Maybe,"No, I don't think they would",Very open,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,33,Male,Supervisor/Team Lead|Dev Evangelist/Advocate|Back-end Developer,Always
0,1-5,1.0,Yes,Yes,No,I don't know,Yes,I don't know,No,No,Maybe,Yes,I don't know,No,Some of my previous employers,No,No,Maybe,Maybe,Somewhat open,No,No,No,No,0,Not applicable to me,Not applicable to me,21,male,Back-end Developer|DevOps/SysAdmin,Never
0,1-5,1.0,No,No,No,No,I don't know,Very difficult,Maybe,Maybe,No,No,I don't know,Yes,"No, at none of my previous employers",No,No,Maybe,Maybe,Somewhat not open,Yes,Yes,Yes,No,0,Often,Often,36,Male,Back-end Developer,Never
1,,,,,,,,,,,,,,,Some of my previous employers,Maybe,No,Maybe,Maybe,Somewhat not open,Yes,Yes,Yes,Yes,1,Never,Sometimes,39,Male,Back-end Developer,Sometimes
0,26-100,1.0,I don't know,I am not sure,No,I don't know,Yes,Somewhat easy,No,No,Maybe,Yes,Yes,No,,Yes,Maybe,"No, I don't think it would","No, I don't think they would",Somewhat open,No,No,No,No,0,Not applicable to me,Not applicable to me,35,Male,Dev Evangelist/Advocate|Back-end Developer,Sometimes
