Você é autônomo?,Quantos funcionários sua empresa ou organização possui?,Seu empregador é principalmente uma empresa/organização de tecnologia?,O seu papel principal na sua empresa está relacionado à tecnologia/TI?,O seu empregador oferece benefícios de saúde mental como parte da cobertura de saúde?,Você conhece as opções de cuidados de saúde mental disponíveis sob sua cobertura de saúde fornecida pelo empregador?,"Seu empregador já discutiu formalmente a saúde mental (por exemplo, como parte de uma campanha de bem -estar ou outra comunicação oficial)?",O seu empregador oferece recursos para aprender mais sobre distúrbios de saúde mental e opções para procurar ajuda?,O seu anonimato está protegido se você optar por aproveitar os recursos de tratamento de saúde mental ou abuso de substâncias fornecidos pelo seu empregador?,"Se um problema de saúde mental o levou a solicitar uma licença médica do trabalho, quão fácil ou difícil seria pedir essa licença?",Você se sentiria mais confortável conversando com seus colegas de trabalho sobre sua saúde física ou sua saúde mental?,Você se sentiria à vontade para discutir um problema de saúde mental com seu (s) supervisor (s) direto (s)?,Você já discutiu sua saúde mental com seu empregador?,Você se sentiria à vontade para discutir um problema de saúde mental com seus colegas de trabalho?,Você já discutiu sua saúde mental com colegas de trabalho?,Você já teve um colega de trabalho discutir a saúde mental de seu ou outro colega de trabalho com você?,"No geral, quanta importância seu empregador coloca na saúde física?","No geral, quanta importância seu empregador coloca na saúde mental?",Você estaria disposto a discutir sua saúde mental com seu (s) supervisor (s) direto (s)?,Você atualmente tem um distúrbio de saúde mental?,Você já teve um distúrbio de saúde mental no passado?,Você já procurou tratamento para um distúrbio de saúde mental de um profissional de saúde mental?,Você tem um histórico familiar de doença mental?,"Se você tem um distúrbio de saúde mental, com que frequência sente que isso interfere no seu trabalho ao ser tratado de maneira eficaz?","Se você tem um distúrbio de saúde mental, com que frequência sente que isso interfere no seu trabalho quando não é tratado de maneira eficaz (ou seja, quando está experimentando sintomas)?",Suas observações de como outro indivíduo que discutiu um problema de saúde mental tornou a probabilidade de você revelar um problema de saúde mental no seu local de trabalho atual?,Quão disposto você estaria em compartilhar com amigos e familiares que você tem uma doença mental?,Você estaria disposto a apresentar um problema de saúde física com um empregador em potencial em uma entrevista?,Você traria sua saúde mental com um empregador em potencial em uma entrevista?,Você é identificado abertamente no trabalho como uma pessoa com um problema de saúde mental?,"No geral, como você acha que o setor de tecnologia apoia funcionários com problemas de saúde mental?",Qual é a sua idade?,Qual é o seu gênero?
0,100-500,0.0,1.0,Yes,Yes,No,No,I don't know,I don't know,Physical health,No,1.0,No,1,1,1,0.0,"No, none of my previous supervisors",Yes,Possibly,1,Yes,Often,Sometimes,No,2,No,No,0,1,40,M
0,100-500,1.0,1.0,I don't know,No,No,I don't know,I don't know,Difficult,Physical health,Maybe,0.0,No,0,0,5,3.0,"No, none of my previous supervisors",Yes,Yes,0,Yes,Sometimes,Often,Yes,10,No,No,0,1,35,Male
0,More than 1000,1.0,1.0,No,No,No,No,I don't know,Neither easy nor difficult,Same level of comfort for each,Maybe,1.0,Yes,1,1,7,7.0,,No,No,0,No,Sometimes,Not applicable to me,No,5,No,No,0,4,23,Male
0,More than 1000,1.0,1.0,I don't know,No,No,I don't know,I don't know,Neither easy nor difficult,Physical health,Maybe,0.0,Maybe,0,0,3,2.0,"No, none of my previous supervisors",Yes,,1,I don't know,Sometimes,Often,Maybe,3,Maybe,No,0,3,22,Female
0,26-100,1.0,0.0,I don't know,,I don't know,I don't know,Yes,Very easy,Same level of comfort for each,Maybe,1.0,Yes,1,1,5,5.0,Some of my previous supervisors,Yes,Yes,1,Yes,Sometimes,Sometimes,Maybe,8,Yes,No, there are grey areas and not everyone realizes that. I'd rather not take the risk that I will be judged negatively for my illness. ,,1,34
0,100-500,0.0,1.0,Yes,No,No,I don't know,I don't know,Somewhat easy,Physical health,Yes,0.0,Maybe,0,0,8,3.0,"Yes, all of my previous supervisors",Yes,No,1,No,Rarely,Often,Yes,9,Maybe,No,1,4,28,Male
0,26-100,0.0,1.0,No,No,No,No,Yes,Neither easy nor difficult,Same level of comfort for each,Yes,0.0,Yes,1,1,9,9.0,"Yes, all of my previous supervisors",Possibly,No,0,No,Never,Sometimes,Yes,10,Yes,Yes,1,5,38,male
1,,,,,,,,,,,,,,,,,,Some of my previous supervisors,No,No,0,No,Not applicable to me,Not applicable to me,,6,No,No,0,2,53,Male
0,6-25,1.0,1.0,I don't know,No,No,No,I don't know,Somewhat easy,Physical health,Maybe,0.0,Maybe,1,0,4,3.0,Some of my previous supervisors,Possibly,Possibly,0,No,Rarely,Sometimes,No,8,Yes,Maybe,0,3,21,Male
0,More than 1000,0.0,1.0,I don't know,No,No,I don't know,I don't know,Neither easy nor difficult,Physical health,Maybe,0.0,Maybe,0,1,4,3.0,,Don't Know,No,0,Yes,Not applicable to me,Not applicable to me,,7,Yes,Maybe,0,3,35,F
0,6-25,1.0,1.0,No,No,No,No,I don't know,Neither easy nor difficult,Physical health,No,0.0,No,0,1,2,2.0,Some of my previous supervisors,Possibly,Possibly,0,Yes,Sometimes,Sometimes,,3,No,No,0,2,22,Male
0,100-500,0.0,0.0,Not eligible for coverage / NA,,Yes,Yes,Yes,Somewhat difficult,Physical health,Yes,0.0,Yes,1,0,7,7.0,,Possibly,Possibly,1,Yes,Never,Sometimes,,6,Yes,No,0,3,18,Male
0,26-100,0.0,1.0,I don't know,No,No,No,I don't know,Difficult,Physical health,Yes,1.0,Yes,1,1,8,2.0,,Yes,Yes,1,Yes,Sometimes,Often,No,10,No,No,1,1,37,female
0,1-5,1.0,1.0,No,,No,No,I don't know,Difficult,Mental health,Maybe,1.0,Maybe,1,1,6,7.0,,Yes,Don't Know,1,I don't know,Sometimes,Often,Maybe,5,No,Maybe,0,3,25,Male
0,100-500,1.0,1.0,No,No,Yes,No,I don't know,I don't know,Physical health,No,0.0,Maybe,0,0,10,5.0,"No, none of my previous supervisors",Don't Know,Don't Know,1,I don't know,Not applicable to me,Not applicable to me,Yes,5,Yes,Yes,0,3,40,male
0,6-25,1.0,1.0,No,No,No,No,Yes,Very easy,Same level of comfort for each,Yes,0.0,Maybe,0,0,7,0.0,Some of my previous supervisors,Don't Know,Don't Know,0,Yes,Not applicable to me,Not applicable to me,No,5,Yes,Yes,0,2,33,Male
0,More than 1000,0.0,1.0,Yes,No,No,I don't know,I don't know,Somewhat difficult,Physical health,No,0.0,No,0,0,5,5.0,"No, none of my previous supervisors",Yes,Yes,1,Yes,Sometimes,Often,No,8,No,No,0,2,66,F
0,100-500,0.0,1.0,Yes,Yes,No,No,I don't know,Somewhat easy,Physical health,Maybe,0.0,Maybe,1,0,5,2.0,"No, none of my previous supervisors",Yes,Yes,1,Yes,Rarely,Often,Yes,4,Maybe,No,0,3,31,female
0,100-500,0.0,1.0,Yes,Yes,Yes,Yes,Yes,Neither easy nor difficult,Physical health,Maybe,0.0,Yes,0,1,7,6.0,Some of my previous supervisors,Yes,No,1,Yes,Rarely,Sometimes,Yes,9,Maybe,Maybe,0,4,32,Male
1,,,,,,,,,,,,,,,,,,Some of my previous supervisors,Yes,Yes,1,I don't know,Rarely,Sometimes,Maybe,7,Maybe,No,0,3,46,M
0,100-500,1.0,1.0,Yes,Yes,I don't know,No,I don't know,Somewhat difficult,Physical health,No,0.0,No,0,0,5,5.0,"No, none of my previous supervisors",Yes,Yes,1,Yes,Rarely,Sometimes,,7,No,No,0,3,30,female
0,100-500,1.0,1.0,Yes,Yes,No,No,Yes,Very easy,Physical health,Maybe,1.0,Maybe,0,0,5,5.0,"Yes, all of my previous supervisors",Yes,Yes,1,I don't know,Rarely,Often,,10,Yes,No,0,4,31,Man
0,100-500,1.0,1.0,Not eligible for coverage / NA,,No,No,I don't know,Somewhat easy,Physical health,Maybe,1.0,Yes,1,1,5,2.0,I don't know,Yes,Yes,1,Yes,Sometimes,Often,No,6,Maybe,No,1,2,46,Male
1,,,,,,,,,,,,,,,,,,Some of my previous supervisors,Yes,Yes,1,I don't know,Often,Often,,5,Yes,No,0,2,29,
0,More than 1000,0.0,1.0,Not eligible for coverage / NA,No,No,I don't know,I don't know,I don't know,Same level of comfort for each,Maybe,0.0,Maybe,0,0,2,2.0,Some of my previous supervisors,Yes,Yes,1,Yes,Sometimes,Often,Maybe,10,Maybe,No,0,3,28,f
0,6-25,0.0,1.0,No,No,No,No,I don't know,Difficult,Physical health,No,0.0,No,1,1,5,3.0,"No, none of my previous supervisors",Yes,Possibly,1,I don't know,Rarely,Sometimes,Yes,5,Maybe,Maybe,1,1,34,Female
0,26-100,1.0,1.0,Yes,Yes,No,No,No,Difficult,Physical health,Yes,0.0,Yes,1,1,10,0.0,Some of my previous supervisors,Yes,Yes,1,I don't know,Rarely,Sometimes,Maybe,8,Yes,Maybe,0,3,25,Male
0,100-500,0.0,1.0,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Physical health,Maybe,0.0,No,0,0,7,5.0,"No, none of my previous supervisors",Yes,Possibly,1,I don't know,Sometimes,Often,Maybe,7,Maybe,No,0,2,35,Male
1,,,,,,,,,,,,,,,,,,I don't know,No,No,0,Yes,Rarely,Rarely,Maybe,3,Yes,Maybe,0,1,25,
0,100-500,1.0,1.0,Yes,Yes,No,I don't know,I don't know,Somewhat easy,Physical health,Yes,1.0,Yes,0,0,7,5.0,Some of my previous supervisors,Possibly,Possibly,0,No,Rarely,Rarely,,8,Yes,No,0,3,40,male
0,100-500,0.0,1.0,I don't know,No,No,I don't know,I don't know,Very easy,Physical health,Yes,1.0,Maybe,1,1,5,5.0,Some of my previous supervisors,Yes,Don't Know,0,I don't know,Not applicable to me,Sometimes,,6,Maybe,Maybe,0,2,32,M
0,100-500,0.0,1.0,I don't know,No,No,I don't know,I don't know,Neither easy nor difficult,Physical health,No,0.0,No,0,0,4,2.0,"No, none of my previous supervisors",No,Yes,1,Yes,Rarely,Not applicable to me,,1,Yes,No,0,2,39,Male
0,500-1000,1.0,1.0,Yes,Yes,I don't know,I don't know,I don't know,I don't know,Physical health,Maybe,0.0,Maybe,1,0,9,9.0,Some of my previous supervisors,Yes,Yes,1,Yes,Never,Often,Maybe,4,No,No,0,4,33,male
0,100-500,1.0,1.0,Yes,Yes,Yes,Yes,Yes,Very easy,Physical health,No,0.0,No,1,0,8,8.0,Some of my previous supervisors,Possibly,Possibly,1,I don't know,Often,Often,No,8,Maybe,No,0,4,40,Male
0,500-1000,1.0,1.0,Yes,No,No,I don't know,Yes,Very easy,Same level of comfort for each,Yes,1.0,Maybe,1,0,5,4.0,Some of my previous supervisors,Yes,Yes,1,I don't know,Rarely,Sometimes,No,7,Maybe,Maybe,1,3,42,male
0,More than 1000,0.0,1.0,I don't know,No,I don't know,I don't know,I don't know,Difficult,Physical health,No,1.0,No,0,1,5,5.0,Some of my previous supervisors,Yes,Yes,1,Yes,Sometimes,Often,No,6,Yes,Maybe,0,3,32,Male
0,More than 1000,0.0,1.0,Yes,Yes,No,Yes,No,Somewhat difficult,Physical health,No,1.0,Maybe,1,1,8,0.0,"Yes, all of my previous supervisors",Yes,Yes,1,I don't know,Sometimes,Often,Yes,9,Maybe,No,1,3,27,Female
1,,,,,,,,,,,,,,,,,,Some of my previous supervisors,Yes,Yes,1,Yes,Sometimes,Often,Yes,10,No,No,0,2,43,Female
0,6-25,0.0,1.0,No,,No,No,No,Difficult,Mental health,No,0.0,Maybe,1,0,4,3.0,"No, none of my previous supervisors",Possibly,Possibly,1,I don't know,Often,Often,No,2,Maybe,No,0,2,30,female
0,26-100,0.0,1.0,I don't know,No,No,No,I don't know,Difficult,Physical health,Maybe,0.0,Maybe,0,0,0,0.0,I don't know,Yes,Yes,1,Yes,Sometimes,Sometimes,Maybe,10,Maybe,Maybe,0,2,39,male
0,6-25,1.0,1.0,Yes,No,No,I don't know,I don't know,I don't know,Same level of comfort for each,No,0.0,Yes,1,1,6,7.0,Some of my previous supervisors,Yes,Yes,1,Yes,Sometimes,Often,No,10,Maybe,No,0,3,42,Female
0,6-25,1.0,1.0,Yes,Yes,Yes,No,Yes,Somewhat easy,Physical health,Yes,1.0,Maybe,0,0,10,8.0,Some of my previous supervisors,Yes,Yes,1,Yes,Often,Often,No,10,Yes,Maybe,0,3,37,Genderfluid
0,500-1000,0.0,1.0,I don't know,Yes,No,I don't know,I don't know,Difficult,Physical health,No,1.0,No,0,1,6,2.0,Some of my previous supervisors,Yes,Yes,1,Yes,Sometimes,Often,Maybe,6,Maybe,No,1,2,38,Female
0,More than 1000,1.0,1.0,I don't know,No,I don't know,I don't know,I don't know,Very easy,Physical health,Maybe,0.0,Maybe,0,0,8,7.0,Some of my previous supervisors,Don't Know,No,0,No,Not applicable to me,Not applicable to me,,6,Yes,Maybe,0,4,47,Male
0,500-1000,1.0,1.0,I don't know,No,Yes,Yes,I don't know,Somewhat difficult,Physical health,No,0.0,No,0,1,5,2.0,"No, none of my previous supervisors",Yes,Yes,1,No,Rarely,Sometimes,Maybe,5,Maybe,Maybe,0,3,64,male
0,100-500,0.0,0.0,No,Yes,No,No,I don't know,Somewhat difficult,Physical health,No,0.0,No,0,1,8,3.0,"No, none of my previous supervisors",Yes,Yes,1,Yes,Sometimes,Often,Yes,7,Maybe,No,0,2,28,Male
1,,,,,,,,,,,,,,,,,,"No, none of my previous supervisors",Possibly,Possibly,1,I don't know,Not applicable to me,Sometimes,Maybe,0,Maybe,No,0,2,45,Male
0,100-500,1.0,1.0,Yes,Yes,Yes,I don't know,Yes,Very easy,Physical health,Maybe,0.0,Yes,0,1,7,7.0,Some of my previous supervisors,No,No,0,No,Not applicable to me,Not applicable to me,,5,Yes,Maybe,0,2,37,M
0,26-100,1.0,1.0,Yes,Yes,Yes,Yes,I don't know,Very easy,Mental health,Yes,1.0,Yes,1,1,9,9.0,Some of my previous supervisors,Yes,Yes,1,Yes,Sometimes,Often,No,9,No,No,0,4,30,Female
0,100-500,0.0,1.0,I don't know,No,No,No,I don't know,Somewhat easy,Physical health,Yes,0.0,Yes,0,1,5,5.0,"Yes, all of my previous supervisors",No,No,0,No,Not applicable to me,Not applicable to me,No,7,Maybe,Maybe,0,3,25,Male
0,26-100,1.0,1.0,No,,No,Yes,Yes,Very easy,Physical health,Maybe,0.0,No,0,0,10,10.0,"No, none of my previous supervisors",Yes,,0,Yes,Often,Often,No,1,Maybe,No,0,3,25,Female
1,,,,,,,,,,,,,,,,,,Some of my previous supervisors,Yes,Yes,1,Yes,Sometimes,Often,Yes,8,No,No,0,2,54,Female
0,500-1000,1.0,0.0,Yes,Yes,Yes,Yes,I don't know,Neither easy nor difficult,Same level of comfort for each,Yes,1.0,Maybe,1,1,5,6.0,"No, none of my previous supervisors",Yes,No,1,I don't know,Rarely,Rarely,No,7,No,Yes,0,3,61,Male
0,More than 1000,1.0,1.0,No,No,No,No,I don't know,I don't know,Mental health,Maybe,0.0,No,0,0,8,4.0,"No, none of my previous supervisors",No,No,0,No,Not applicable to me,Not applicable to me,Yes,7,No,No,0,3,26,male
0,More than 1000,0.0,1.0,Yes,Yes,Yes,Yes,I don't know,Neither easy nor difficult,Physical health,No,1.0,Yes,1,,2,2.0,"No, none of my previous supervisors",Yes,Yes,1,Yes,Sometimes,Often,No,4,Maybe,No,0,2,44,Female
0,6-25,1.0,1.0,No,No,No,No,I don't know,I don't know,Physical health,Yes,0.0,No,1,1,0,0.0,,Yes,Possibly,1,I don't know,Sometimes,Often,Yes,2,Yes,No,0,2,26,male
0,26-100,1.0,1.0,Yes,No,No,No,I don't know,Somewhat easy,Same level of comfort for each,Yes,1.0,Maybe,1,0,9,7.0,Some of my previous supervisors,Yes,Yes,1,Yes,Often,Often,Yes,10,Yes,Maybe,1,3,26,Female
0,6-25,1.0,1.0,I don't know,No,No,I don't know,Yes,Neither easy nor difficult,Same level of comfort for each,Yes,0.0,Maybe,0,0,7,5.0,Some of my previous supervisors,No,Possibly,1,I don't know,Sometimes,Sometimes,No,3,No,No,0,4,35,female
0,26-100,1.0,1.0,Yes,Yes,No,No,I don't know,Very easy,Physical health,Maybe,0.0,Maybe,1,1,5,2.0,"No, none of my previous supervisors",No,No,0,No,Not applicable to me,Not applicable to me,No,6,No,No,0,1,45,Male
0,26-100,1.0,1.0,I don't know,No,No,No,I don't know,Somewhat easy,Physical health,Yes,0.0,Yes,0,0,3,2.0,,No,Possibly,0,I don't know,Not applicable to me,Not applicable to me,No,4,Maybe,No,0,3,23,Male
0,More than 1000,0.0,1.0,Yes,Yes,I don't know,I don't know,I don't know,Somewhat easy,Physical health,Yes,0.0,Maybe,0,0,7,5.0,Some of my previous supervisors,Don't Know,Don't Know,0,No,Not applicable to me,Not applicable to me,Maybe,5,Yes,Maybe,0,3,0,44
0,More than 1000,0.0,1.0,Yes,No,Yes,Yes,Yes,Neither easy nor difficult,Same level of comfort for each,Yes,0.0,Maybe,1,1,5,5.0,Some of my previous supervisors,Possibly,Yes,1,I don't know,Rarely,Sometimes,Maybe,5,No,No,0,3,38,male
0,500-1000,0.0,1.0,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Same level of comfort for each,Yes,1.0,Yes,0,0,8,8.0,Some of my previous supervisors,No,Yes,1,Yes,Rarely,Often,No,8,No,No,0,2,46,Male
0,500-1000,0.0,1.0,Yes,No,Yes,I don't know,I don't know,Somewhat difficult,Physical health,Maybe,1.0,No,0,0,5,5.0,"No, none of my previous supervisors",Yes,Yes,1,I don't know,Sometimes,Often,Yes,5,Maybe,No,0,2,27,Nonbinary
0,100-500,0.0,1.0,Yes,Yes,I don't know,Yes,Yes,Difficult,Physical health,Maybe,1.0,Maybe,1,1,7,2.0,"No, none of my previous supervisors",Yes,Yes,1,Yes,Rarely,Often,No,7,No,No,0,2,39,female
0,26-100,1.0,1.0,I don't know,No,No,No,I don't know,I don't know,Physical health,No,0.0,No,0,0,10,2.0,Some of my previous supervisors,Possibly,Yes,1,Yes,Sometimes,Often,Yes,2,Maybe,No,0,1,33,Female 
1,,,,,,,,,,,,,,,,,,"No, none of my previous supervisors",Yes,Yes,1,Yes,Sometimes,Often,Maybe,8,No,No,0,1,38,female
0,26-100,0.0,1.0,Not eligible for coverage / NA,,No,No,I don't know,Difficult,Physical health,No,0.0,No,0,0,9,4.0,,No,No,0,No,Not applicable to me,Not applicable to me,,2,No,No,0,1,35,Male
0,More than 1000,1.0,1.0,No,No,No,No,I don't know,Neither easy nor difficult,Physical health,No,1.0,Maybe,1,0,7,3.0,"No, none of my previous supervisors",Yes,Possibly,1,No,Sometimes,Rarely,Maybe,3,No,No,0,3,32,male
0,More than 1000,1.0,1.0,Yes,Yes,I don't know,No,I don't know,Somewhat easy,Physical health,No,1.0,No,0,0,5,5.0,"No, none of my previous supervisors",Yes,Possibly,0,I don't know,Rarely,Often,,5,No,No,0,2,26,Female
0,100-500,1.0,1.0,Yes,Yes,No,I don't know,I don't know,Somewhat difficult,Physical health,Maybe,0.0,Maybe,0,0,4,3.0,"No, none of my previous supervisors",Yes,Yes,1,Yes,Rarely,Often,Yes,8,Yes,No,0,2,1,50
0,100-500,1.0,1.0,I don't know,Yes,I don't know,I don't know,I don't know,Somewhat easy,Physical health,Yes,0.0,Yes,0,0,9,8.0,Some of my previous supervisors,Yes,Yes,1,Yes,Rarely,Not applicable to me,,10,Maybe,No,0,4,31,Male
0,More than 1000,1.0,1.0,I don't know,No,Yes,I don't know,I don't know,Somewhat difficult,Physical health,Maybe,0.0,Maybe,0,1,8,3.0,,Don't Know,No,0,Yes,Not applicable to me,Not applicable to me,No,4,Maybe,No,0,2,46,Male
0,26-100,1.0,1.0,Yes,No,No,No,Yes,Somewhat easy,Physical health,No,0.0,Maybe,0,0,7,4.0,"No, none of my previous supervisors",Yes,Yes,1,Yes,Rarely,Often,Maybe,7,Maybe,No,0,2,1,30
0,More than 1000,1.0,1.0,Yes,No,No,I don't know,I don't know,Somewhat difficult,Physical health,Maybe,0.0,Maybe,0,1,8,5.0,Some of my previous supervisors,Yes,Yes,1,I don't know,Sometimes,Often,No,7,Maybe,No,0,2,30,Mail
0,100-500,1.0,1.0,No,No,No,No,I don't know,Neither easy nor difficult,Physical health,Yes,1.0,Maybe,1,1,8,4.0,Some of my previous supervisors,Yes,Yes,1,No,Rarely,Often,,7,Maybe,Maybe,0,3,34,male
0,More than 1000,0.0,0.0,Yes,Yes,Yes,Yes,Yes,Difficult,Same level of comfort for each,No,0.0,No,0,0,8,4.0,"No, none of my previous supervisors",No,No,0,No,Not applicable to me,Not applicable to me,Maybe,1,Maybe,No,0,1,42,Male
0,More than 1000,1.0,1.0,Yes,Yes,Yes,Yes,No,Somewhat difficult,Physical health,Maybe,1.0,Maybe,0,0,8,6.0,Some of my previous supervisors,Yes,Yes,1,Yes,Sometimes,Often,No,8,Maybe,No,0,3,24,Female
1,,,,,,,,,,,,,,,,,,Some of my previous supervisors,Yes,Yes,1,Yes,Sometimes,Often,Yes,8,Yes,No,0,2,30,Male
0,26-100,1.0,1.0,Yes,Yes,Yes,I don't know,I don't know,Somewhat easy,Same level of comfort for each,Maybe,1.0,Yes,1,1,8,7.0,,Don't Know,Don't Know,0,I don't know,Not applicable to me,Not applicable to me,,1,Maybe,Maybe,0,4,23,Male
0,100-500,1.0,1.0,Yes,Yes,No,No,I don't know,Somewhat easy,Physical health,No,0.0,No,1,1,10,6.0,"No, none of my previous supervisors",Yes,Yes,1,Yes,Rarely,Often,Yes,4,No,No,0,2,31,female
0,26-100,1.0,1.0,No,No,No,No,I don't know,I don't know,Physical health,No,0.0,Maybe,0,0,2,6.0,"No, none of my previous supervisors",Possibly,No,0,I don't know,Rarely,Sometimes,Maybe,3,Yes,No,0,3,31,male
0,100-500,1.0,1.0,Yes,Yes,No,I don't know,I don't know,Somewhat easy,Physical health,Maybe,1.0,Yes,1,1,5,4.0,"No, none of my previous supervisors",Yes,Yes,1,Yes,Sometimes,Often,Yes,6,Maybe,Maybe,1,2,27,Woman
1,,,,,,,,,,,,,,,,,,Some of my previous supervisors,No,Possibly,0,No,Not applicable to me,Not applicable to me,Maybe,0,Yes,No,0,1,26,Male
0,500-1000,0.0,1.0,Yes,Yes,No,Yes,I don't know,Somewhat difficult,Physical health,Maybe,0.0,No,0,1,10,1.0,"No, none of my previous supervisors",No,No,0,Yes,Not applicable to me,Not applicable to me,Yes,8,No,No,0,2,52,Female
1,,,,,,,,,,,,,,,,,,,Don't Know,No,0,No,Not applicable to me,Not applicable to me,Maybe,3,Yes,Yes,0,2,28,Male
0,1-5,1.0,1.0,No,No,No,I don't know,I don't know,I don't know,Physical health,No,0.0,No,0,0,4,5.0,"No, none of my previous supervisors",Possibly,Don't Know,0,I don't know,Rarely,Often,,0,Maybe,No,0,2,37,male
0,500-1000,0.0,1.0,No,,Yes,Yes,No,Somewhat easy,Physical health,Maybe,0.0,Maybe,0,0,6,7.0,,No,Possibly,0,No,Not applicable to me,Not applicable to me,No,5,Maybe,Maybe,0,3,37,male
0,More than 1000,0.0,1.0,Yes,Yes,No,No,Yes,Very easy,Same level of comfort for each,Yes,0.0,Yes,0,0,8,4.0,"No, none of my previous supervisors",Yes,Yes,1,Yes,Rarely,Often,Maybe,10,No,No,0,2,38,Male
1,,,,,,,,,,,,,,,,,,Some of my previous supervisors,Yes,Yes,1,Yes,Sometimes,Often,No,10,Maybe,No,0,2,57,Female
